from_idx,to_idx,from,to,distance,duration,dest_closeTime
1,28,"Witolda 39A, 81-531 Gdynia, Poland","Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland",16487.0,1796.0,2021-11-27 16:00:00
1,29,"Witolda 39A, 81-531 Gdynia, Poland","aleja Grunwaldzka 49, 80-241 Gdańsk, Poland",16294.0,1796.0,2021-11-27 16:00:00
1,30,"Witolda 39A, 81-531 Gdynia, Poland","aleja Grunwaldzka 56, 80-241 Gdańsk, Poland",15840.0,1685.0,2021-11-27 16:00:00
1,31,"Witolda 39A, 81-531 Gdynia, Poland","aleja Grunwaldzka 12, 80-236 Gdańsk, Poland",16315.0,1738.0,2021-11-27 18:00:00
1,32,"Witolda 39A, 81-531 Gdynia, Poland","Budynek Działu Gospodarczego Wirtualna Polska, Traugutta 115c, 80-226 Gdańsk, Poland",16903.0,1888.0,2021-11-27 16:00:00
1,33,"Witolda 39A, 81-531 Gdynia, Poland","Do Studzienki 65, 80-227 Gdańsk, Poland",16947.0,1881.0,2021-11-27 16:00:00
1,34,"Witolda 39A, 81-531 Gdynia, Poland","Beethovena 24, 80-171 Gdańsk, Poland",28172.0,1827.0,2021-11-27 17:00:00
1,35,"Witolda 39A, 81-531 Gdynia, Poland","Kartuska 187, 80-122 Gdańsk, Poland",26370.0,1632.0,2021-11-27 16:00:00
1,36,"Witolda 39A, 81-531 Gdynia, Poland","Jacka Malczewskiego 103, 80-112 Gdańsk, Poland",27643.0,1825.0,2021-11-27 16:00:00
1,37,"Witolda 39A, 81-531 Gdynia, Poland","Stoczniowców 35, 80-812 Gdańsk, Poland",27489.0,1728.0,2021-11-27 16:00:00
1,38,"Witolda 39A, 81-531 Gdynia, Poland","trakt świętego Wojciecha 35, 80-376 Gdańsk, Poland",29696.0,1813.0,2021-11-27 16:00:00
1,39,"Witolda 39A, 81-531 Gdynia, Poland","Olszyńska 3, 80-734 Gdańsk, Poland",30115.0,1973.0,2021-11-27 16:00:00
1,40,"Witolda 39A, 81-531 Gdynia, Poland","Olszyńska 29, 80-734 Gdańsk, Poland",30362.0,1981.0,2021-11-27 16:00:00
1,41,"Witolda 39A, 81-531 Gdynia, Poland","Miodowa 32, 80-740 Gdańsk, Poland",31569.0,2172.0,2021-11-27 16:00:00
1,42,"Witolda 39A, 81-531 Gdynia, Poland","Zawodzie 35, 80-726 Gdańsk, Poland",32851.0,2175.0,2021-11-27 18:00:00
1,43,"Witolda 39A, 81-531 Gdynia, Poland","Wschodnia 43, 80-066 Gdańsk, Poland",35413.0,2125.0,2021-11-27 16:00:00
1,44,"Witolda 39A, 81-531 Gdynia, Poland","Strzelców Karpackich 6D, 80-041 Gdańsk, Poland",28137.0,1862.0,2021-11-27 16:00:00
1,46,"Witolda 39A, 81-531 Gdynia, Poland","Dywizji Wołyńskiej 18B, 80-180 Gdańsk, Poland",28079.0,1843.0,2021-11-27 16:00:00
1,47,"Witolda 39A, 81-531 Gdynia, Poland","Świętokrzyska 60, 80-180 Gdańsk, Poland",27386.0,1732.0,2021-11-27 16:00:00
