,point_id,time_spent,distance_driven,StreetNumber,Street,PostalCode,City,IsNormalized,OpenTime,CloseTime,isStart,prenormalised,geocode,street_number_n,route_n,locality_n,administrative_area_level_2_n,postal_code_n,formatted_address_n,lat_n,lng_n,place_id_n,visited,lat/lng
10,3,2021-11-28 09:39:44,12377.0,16A,Korzenna,81-587,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Korzenna 16A, 81-587 Gdynia","{'street_number': '16a', 'route': 'Korzenna', 'political': 'Karwiny', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-587', 'formatted_address': 'Korzenna 16a, 81-587 Gdynia, Poland', 'lat': 54.47060500000001, 'lng': 18.504491, 'place_id': 'ChIJAwkRkvmg_UYRVrBvBD4UpkY'}",16a,Korzenna,Gdynia,Gdynia,81-587,"Korzenna 16a, 81-587 Gdynia, Poland",54.47060500000001,18.504491,ChIJAwkRkvmg_UYRVrBvBD4UpkY,True,"[54.47060500000001, 18.504491]"
11,0,2021-11-28 09:50:20,14565.0,17,Witolda,81-532,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Witolda 17, 81-532 Gdynia","{'street_number': '17', 'route': 'Witolda', 'political': 'Mały Kack', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-532', 'formatted_address': 'Witolda 17, 81-532 Gdynia, Poland', 'lat': 54.477958, 'lng': 18.5196319, 'place_id': 'ChIJZ2FIjO6g_UYRxx642XSl6pY'}",17,Witolda,Gdynia,Gdynia,81-532,"Witolda 17, 81-532 Gdynia, Poland",54.477958,18.5196319,ChIJZ2FIjO6g_UYRxx642XSl6pY,True,"[54.477958, 18.5196319]"
12,1,2021-11-28 09:57:39,14844.0,39A,Witolda,81-532,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Witolda 39A, 81-532 Gdynia","{'street_number': '39A', 'route': 'Witolda', 'political': 'Mały Kack', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-531', 'formatted_address': 'Witolda 39A, 81-531 Gdynia, Poland', 'lat': 54.476737, 'lng': 18.5161771, 'place_id': 'ChIJA0bwSu6g_UYREuO7veUce-o'}",39A,Witolda,Gdynia,Gdynia,81-532,"Witolda 39A, 81-531 Gdynia, Poland",54.476737,18.5161771,ChIJA0bwSu6g_UYREuO7veUce-o,True,"[54.476737, 18.5161771]"
13,4,2021-11-28 10:10:39,18056.0,4,Wiczlinska,81-578,Gdynia,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Wiczlinska 4, 81-578 Gdynia","{'street_number': '4', 'route': 'Wiczlińska', 'political': 'Dąbrowa', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-578', 'formatted_address': 'Wiczlińska 4, 81-578 Gdynia, Poland', 'lat': 54.4723743, 'lng': 18.4776952, 'place_id': 'ChIJlyWyBgeh_UYRGNYvNtDzybw'}",4,Wiczlińska,Gdynia,Gdynia,81-578,"Wiczlińska 4, 81-578 Gdynia, Poland",54.4723743,18.4776952,ChIJlyWyBgeh_UYRGNYvNtDzybw,True,"[54.4723743, 18.4776952]"
14,16,2021-11-28 10:28:13,24239.0,238,aleja Zwycięstwa,81-540,Gdynia,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"aleja Zwyciestwa 238, 81-540 Gdynia","{'street_number': '238', 'route': 'aleja Zwycięstwa', 'political': 'Orłowo', 'locality': 'Gdynia', 'administrative_area_level_2': 'Gdynia', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-525', 'formatted_address': 'aleja Zwycięstwa 238, 81-525 Gdynia, Poland', 'lat': 54.47812099999999, 'lng': 18.5525129, 'place_id': 'ChIJ0_CeVZig_UYRfTCgPw5HmXo'}",238,aleja Zwycięstwa,Gdynia,Gdynia,81-540,"aleja Zwycięstwa 238, 81-525 Gdynia, Poland",54.47812099999999,18.5525129,ChIJ0_CeVZig_UYRfTCgPw5HmXo,True,"[54.47812099999999, 18.5525129]"
15,18,2021-11-28 10:38:43,26523.0,938,al. Niepodległości,81-861,Sopot,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"al. Niepodleglosci 938, 81-861 Sopot","{'street_number': '938', 'route': 'Aleja Niepodległości', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-855', 'formatted_address': 'Aleja Niepodległości 938, 81-855 Sopot, Poland', 'lat': 54.458014, 'lng': 18.5543914, 'place_id': 'ChIJeWL65yoL_UYRzNRYmqOxzHg'}",938,Aleja Niepodległości,Sopot,Sopot,81-861,"Aleja Niepodległości 938, 81-855 Sopot, Poland",54.458014,18.5543914,ChIJeWL65yoL_UYRzNRYmqOxzHg,True,"[54.458014, 18.5543914]"
16,17,2021-11-28 10:46:42,26888.0,899,aleja Niepodległości,81-861,Sopot,True,2021-11-28 09:00:00,2021-11-28 17:00:00,False,"aleja Niepodleglosci 899, 81-861 Sopot","{'street_number': '899', 'route': 'Aleja Niepodległości', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81', 'formatted_address': 'Aleja Niepodległości 899, Sopot, Poland', 'lat': 54.46030829999999, 'lng': 18.5548341, 'place_id': 'ChIJgccIg38K_UYRXCss9Ow9Gdc'}",899,Aleja Niepodległości,Sopot,Sopot,81-861,"Aleja Niepodległości 899, Sopot, Poland",54.46030829999999,18.5548341,ChIJgccIg38K_UYRXCss9Ow9Gdc,True,"[54.46030829999999, 18.5548341]"
17,19,2021-11-28 10:56:57,28179.0,59,Haffnera,81-715,Sopot,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Haffnera 59, 81-715 Sopot","{'street_number': '59', 'route': 'Jana Jerzego Haffnera', 'political': 'Dolny Sopot', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-715', 'formatted_address': 'Jana Jerzego Haffnera 59, 81-715 Sopot, Poland', 'lat': 54.4507636, 'lng': 18.5609788, 'place_id': 'ChIJa_ez0IUK_UYR598sglPozmc'}",59,Jana Jerzego Haffnera,Sopot,Sopot,81-715,"Jana Jerzego Haffnera 59, 81-715 Sopot, Poland",54.4507636,18.5609788,ChIJa_ez0IUK_UYR598sglPozmc,True,"[54.4507636, 18.5609788]"
18,21,2021-11-28 11:04:09,28583.0,42,Jana Jerzego Haffnera,81-708,Sopot,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Jana Jerzego Haffnera 42, 81-708 Sopot","{'street_number': '42', 'route': 'Jana Jerzego Haffnera', 'political': 'Dolny Sopot', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-707', 'formatted_address': 'Jana Jerzego Haffnera 42, 81-707 Sopot, Poland', 'lat': 54.4475136, 'lng': 18.5642046, 'place_id': 'ChIJtQ8Dn48K_UYRj-mMl2VTenA'}",42,Jana Jerzego Haffnera,Sopot,Sopot,81-708,"Jana Jerzego Haffnera 42, 81-707 Sopot, Poland",54.4475136,18.5642046,ChIJtQ8Dn48K_UYRj-mMl2VTenA,True,"[54.4475136, 18.5642046]"
19,24,2021-11-28 11:18:08,31258.0,54,Bitwy Pod Płowcami,81-731,Sopot,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Bitwy Pod Plowcami 54, 81-731 Sopot","{'street_number': '54', 'route': 'Bitwy pod Płowcami', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-731', 'formatted_address': 'Bitwy pod Płowcami 54, 81-731 Sopot, Poland', 'lat': 54.4333715, 'lng': 18.5796978, 'place_id': 'ChIJvS5NhOkK_UYR2uQT3wrdZjw'}",54,Bitwy pod Płowcami,Sopot,Sopot,81-731,"Bitwy pod Płowcami 54, 81-731 Sopot, Poland",54.4333715,18.5796978,ChIJvS5NhOkK_UYR2uQT3wrdZjw,True,"[54.4333715, 18.5796978]"
20,23,2021-11-28 11:27:26,32327.0,2,Poniatowskiego,81-724,Sopot,False,2021-11-28 10:00:00,2021-11-28 16:00:00,False,"Poniatowskiego 2, 81-724 Sopot","{'street_number': '2', 'route': 'Księcia Józefa Poniatowskiego', 'political': 'Dolny Sopot', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-724', 'formatted_address': 'Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland', 'lat': 54.439771, 'lng': 18.5746989, 'place_id': 'ChIJFQPYLJMK_UYRgqnO2-SDbZ4'}",2,Księcia Józefa Poniatowskiego,Sopot,Sopot,81-724,"Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland",54.439771,18.5746989,ChIJFQPYLJMK_UYRgqnO2-SDbZ4,True,"[54.439771, 18.5746989]"
21,22,2021-11-28 11:38:16,33152.0,9,Michała Drzymały,81-771,Sopot,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Michala Drzymaly 9, 81-771 Sopot","{'street_number': '9', 'route': 'Michała Drzymały', 'political': 'Dolny Sopot', 'locality': 'Sopot', 'administrative_area_level_2': 'Sopot', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '81-771', 'formatted_address': 'Michała Drzymały 9, 81-771 Sopot, Poland', 'lat': 54.4411942, 'lng': 18.5745219, 'place_id': 'ChIJkebzz5IK_UYR_Q7wJ7zj_rk'}",9,Michała Drzymały,Sopot,Sopot,81-771,"Michała Drzymały 9, 81-771 Sopot, Poland",54.4411942,18.5745219,ChIJkebzz5IK_UYR_Q7wJ7zj_rk,True,"[54.4411942, 18.5745219]"
